rank,variant,profit_factor,winrate,total_pips,max_drawdown,sharpe,sortino,calmar,ulcer_index,recovery_factor,expectancy,avg_win,avg_loss,mae_mean,mfe_mean,mae_winners,mfe_winners,profit_captured_pct,avg_duration_bars,longest_loss_streak,wf_stability,mc_prob_ruin,mc_prob_profit,stability_score
1,partial_close,1.8505829287013376,54.0585,71062.1179,2125.1857,0.2603,0.5328501953791093,33.43807431955532,554.4213629235172,33.43807431955532,7.880030811393089,31.884370857025026,20.039624952883543,16.65026613439785,29.872244400088714,7.63881025641022,46.018092307692314,69.29,11.277888667110224,55,MARGINAL,0.0,1.0,51.74
2,rr_1_3,1.0618430609823095,29.2485,5915.8929,5761.4143,0.0251,0.048753801785608994,1.0268126129744943,2250.4793046776385,1.0268126129744943,0.9073455302366347,53.26463592778489,20.736997150908937,22.124877300613477,28.888450920245404,7.83812270582063,63.886733088620886,83.37,14.850460122699387,73,UNSTABLE,0.012,0.976,6.93
3,rr_1_25,1.0163132786541091,32.1987,1496.9679,5125.2214,0.007,0.012585640777822675,0.29207866977174957,2560.4597000022577,0.29207866977174957,0.22952589039295068,44.40987244897961,20.751642760224865,21.509521619135217,26.499003373198406,7.898428571428534,55.35657142857142,80.23,12.62848819380558,72,UNSTABLE,0.6525,0.34,0.0
4,rr_1_2,0.9694543334563214,36.3999,-2636.1857,6154.7357,-0.014,-0.02280344060242669,-0.42831826363671355,3180.149147211216,-0.42831826363671355,-0.40419897489815254,35.24301359971116,20.80595467695276,20.60280588776447,23.819242563630787,7.82131423757368,46.37240943555182,76.0,10.56133088009813,72,UNSTABLE,0.885,0.083,0.0
5,rr_1_35,1.041751106728276,25.8441,4177.8536,6468.1875,0.0166,0.03372158093877225,0.6459079257409562,2579.088994062622,0.6459079257409562,0.6411684425151271,61.90234560570075,20.708960353595092,22.85058317986493,30.856706568446906,7.7214964370546095,72.06330166270786,85.9,17.410527931246165,128,UNSTABLE,0.1405,0.8315,0.0
6,current_production,1.0175479424337381,22.9339,1819.3929,8122.8429,0.0068,0.014456259746096553,0.22398474144345126,3289.5157232935935,0.22398474144345126,0.27947662936143164,70.66353458999147,20.6659884962556,23.441321044546832,32.73384024577573,7.728667113194893,80.94079035498994,87.3,19.72596006144393,214,UNSTABLE,0.659,0.335,0.0
7,rr_1_4,1.0175479424337381,22.9339,1819.3929,8122.8429,0.0068,0.014456259746096553,0.22398474144345126,3289.5157232935935,0.22398474144345126,0.27947662936143164,70.66353458999147,20.6659884962556,23.441321044546832,32.73384024577573,7.728667113194893,80.94079035498994,87.3,19.72596006144393,214,UNSTABLE,0.659,0.335,0.0
8,time_exit,0.9942162281188637,24.7317,-567.5357,9790.3107,-0.0021,-0.0046898865954007165,-0.0579691218030089,5876.449281425352,-0.0579691218030089,-0.08701866211066143,60.821695760598516,19.952325277406615,22.94101502606561,36.191168353265866,8.968877867327937,94.00347179169246,64.7,20.4573750383318,118,UNSTABLE,0.949,0.051,0.0
9,trailing_donchian,0.8192764315317957,24.0877,-11212.5071,11371.125,-0.0631,-0.13785243781396744,-0.9860508210803425,6084.938689109184,-0.9860508210803425,-1.7191823279450376,33.88653333333321,12.354103373727073,15.060717571297142,23.617065317387286,5.039147040101796,65.65811584977715,51.61,9.698098742716958,73,UNSTABLE,0.9975,0.0,0.0
10,break_even,0.675544474512349,59.5676,-18064.4164,19150.2171,-0.1247,-0.19747444847678344,-0.9433008667115421,10767.786644313985,-0.9433008667115421,-2.769766395058485,24.11004990842492,11.220494616226182,15.616268015946021,18.78957375038332,7.795289575289562,28.80471042471043,83.7,7.1838393130941425,24,UNSTABLE,1.0,0.0,0.0
11,trailing_atr,0.5645146370645884,34.2533,-28818.7571,28827.3357,-0.2215,-0.3121170464757443,-0.9997024153909491,16824.940429851442,-0.9997024153909491,-4.418699347264214,17.90005818331165,14.921348043163158,16.49504753143206,20.615562710824896,6.2229632945389355,41.89180841539836,42.73,7.847132781355413,54,UNSTABLE,1.0,0.0,0.0
12,dynamic_atr,0.5645146370645884,34.2533,-28818.7571,28827.3357,-0.2215,-0.3121170464757443,-0.9997024153909491,16824.940429851442,-0.9997024153909491,-4.418699347264214,17.90005818331165,14.921348043163158,16.49504753143206,20.615562710824896,6.2229632945389355,41.89180841539836,42.73,7.847132781355413,54,UNSTABLE,1.0,0.0,0.0
13,trailing_ema,0.0,0.0,-119177.0571,119177.0571,-2.742,-0.9394716268228663,-0.9999999999999988,67884.54137946098,-0.9999999999999988,-20.417518784111227,0.0,20.417518784111227,28.378807606647243,31.448243960938857,0.0,0.0,0.0,28.1706356004797,5837,UNSTABLE,1.0,0.0,0.0
