variant,mae_mean,mfe_mean,mae_winners,mae_losers,mfe_winners,mfe_losers,profit_captured_pct,avg_win,avg_loss
current_production,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rr_1_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rr_1_25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rr_1_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rr_1_35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rr_1_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trailing_atr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trailing_ema,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dynamic_atr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
break_even,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
partial_close,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trailing_donchian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
time_exit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
